subject,course_id,course_display,description,course_url
ETC,14332,ETC 767 - Research In Learning Analytics & Artificial Intelligence,"This course is designed to empower educators, instructional designers, data analysts, and technology enthusiasts by equipping them with the necessary knowledge and skills to effectively utilize learning analytics and generative AI technologies within the field of education. In response to the evolving educational landscape, the course seeks to meet the increasing significance of data and emerging technologies in enhancing learning experiences. Participants will delve into the convergence of learning analytics and generative AI, traversing through diverse phases of analysis, interpretation, and practical application. Through this exploration, individuals will gain insights into harnessing the potential of these technologies to optimize educational practices and outcomes in contemporary learning environments. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=014332&term=1261
INF,12001,INF 504 - Data Mining And Machine Learning,"Study of machine learning principles with a focus on uncertainty modeling, Bayesian inference, graphical models for complex inference problems, computational inference including message passing and Markov Chain Monte Carlo, and open research questions. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=012001&term=1261
INF,14549,INF 586 - Data Analytics Capstone,"This course serves as a hands-on, project-based studio where students apply computational and applied data science techniques to real-world datasets. The course emphasizes problem-solving, data-driven decision-making, and visualization techniques within interdisciplinary applications, such as bioinformatics, eco-informatics, astroinformatics, and health informatics. Students will work in teams to analyze large-scale datasets, develop machine learning models, and present actionable insights. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=014549&term=1261
INT,11155,INT 301 - Intelligence And National Security,"A comprehensive introduction to intelligence...what it is, who does it, and who uses it. Starting with a brief historical overview, students will explore the intelligence cycle; examine relationships and tensions between agencies, government leaders and policymakers; delve into issues of maintaining balance between the need for intelligence and the civil rights and liberties of the people; and discuss intelligence oversight. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=011155&term=1261
INT,11156,"INT 315 - Intelligence Collection, Analysis And Technology","With an emphasis on contemporary methods of foreign and domestic intelligence collection and analysis, this course will focus on sources, means, capabilities, and limitations of information mining at the local, state, federal level. Analytic procedures used to present findings to a broad range of clients and the use of technology in the collection and analysis processes are also highlighted. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=011156&term=1261
INT,11159,"INT 370 - Threats, Vulnerabilities And Risks","Strategies and techniques for visualizing and analyzing information and for communicating and using information about threats, risks, and vulnerabilities with decision makers throughout various jurisdictions, including the local, state, and federal intelligence communities, will serve as a foundation for this course. Countermeasures will be highlighted and contingency plans documented in an effort to counter identified vulnerabilities. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=011159&term=1261
INT,11759,"INT 370H - Threats, Vulnerabilities And Risks - Honors","Strategies and techniques for visualizing and analyzing information and for communicating and using information about threats, risks, and vulnerabilities with decision makers throughout various jurisdictions, including the local, state, and federal intelligence communities, will serve as a foundation for this course. Countermeasures will be highlighted and contingency plans documented in an effort to counter identified vulnerabilities. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=011759&term=1261
INT,11161,INT 440 - Legal And Ethical Issues In Intelligence,"The responsibilities of different U.S. intelligence community members, the relationship between intelligence and policy-making processes, and legal foundations with particular emphasis on the intersection of national security and civil liberties will be highlighted. This provides a foundation to explore the U.S. foreign intelligence apparatus, discuss its authorities, limits, and oversight mechanisms, and also explore current legal and policy issues/controversies. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=011161&term=1261
JUS,11546,JUS 315 - Intelligence-led Policing,"The class material will explore the integration of intelligence-led policing with community-based policing and problem solving. Focus will be placed on training first responders to develop raw information into actionable intelligence, thereby allowing field officers to be more effective during routine law enforcement functions. Students will also learn the intelligence principles that exist within the daily operations of law enforcement. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=011546&term=1261
JUS,11753,JUS 352 - Applications Of Criminal Intelligence In Policing,"The course will examine the current use of criminal intelligence in law enforcement (federal, state, and local) and its applications in support of investigations, resource management, and operational planning. The methods examined in this course will also be applicable in the private sector.",https://catalog.nau.edu/Courses/course?courseId=011753&term=1261
JUS,12141,JUS 421C - Senior Capstone In Justice Studies,"The Justice Studies program prepares students to ethically work and lead in the criminal justice or intelligence studies fields. To ensure these goals have been met, students in this capstone course will (1) review the program's coursework, (2) complete a comprehensive research project in their field of study, and (3) investigate the current job requirements and opportunities. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=012141&term=1261
JUS,11754,JUS 452 - Criminal Intelligence Leadership And Management,"The demands of today's criminal environment requires law enforcement leaders to use intelligence to make longer-term predictions and think beyond traditional methods for responding to criminal activity. This course provides students with an understanding of the skills required to manage the collection, analysis and dissemination of intelligence to respond to sophisticated criminal activity, manage resources, and strategically deploy personnel.",https://catalog.nau.edu/Courses/course?courseId=011754&term=1261
JUS,11517,JUS 530 - Counterterrorism And Intelligence,"This course provides a detailed look at terrorism and counterterrorism, at all levels (local, national, and international) from the perspective of the intelligence community. Particular focus is placed on examining problems of policy, law, resources, and management, as they arise for senior officials in the criminal justice community. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=011517&term=1261
JUS,11520,JUS 620 - Critical Issues In Policing,"This course examines, from a theoretical and a law enforcement practitioner perspective, the trends, issues, challenges, and initiatives in the delivery of public policing services in the United States. It examines the evolution of policing and the implementation of contemporary policing strategies such as community-oriented policing and problem-oriented policing, intelligence-led policing, fusion centers, and directed enforcement. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=011520&term=1261
OTD,14512,OTD 656 - Upper Extremity Function & Occupational Performance,"Interventions with orthopedic-based upper extremity conditions to optimize functional use of the hand and arm are analyzed. Emphasis on applied anatomy, physical agent modalities, orthotics fabrication and application, and hand rehabilitation methods. 3 hrs. lecture, 3 hrs. lab. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=014512&term=1261
PRM,14168,PRM 165 - Ai And The Future Of Fun,"AI and the Future of Fun is a 3-credit course examining how artificial intelligence is changing the very nature of leisure. As AI enables new forms of creativity, travel, gaming, and more, it also raises questions about the technology's broader social impact. The course will explore how AI-powered systems may increase accessibility and personalization of recreational experiences while potentially displacing human roles. Students will learn technical foundations alongside ethical issues like privacy, bias, and job loss. Our leisure time is among our most personal spaces; the course investigates this human-AI intersection so we can shape recreational futures with eyes wide open to both profound promise and pitfalls. The very meaning of fun itself may transform - examining this key part of the human experience will shed light on deeper changes afoot. Beyond receiving practical skills, students will contemplate and discuss what it means to be human in an increasingly automated world where recreation is ever more entwined with intelligent machines. This course is open to all students from any major. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=014168&term=1261
PSY,7190,PSY 101 - Introduction To Psychology,"Surveys the science of psychology, including history of psychology, physiology, development, health, abnormal, learning, sensation, perception, motivation, personality, and intelligence. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=007190&term=1261
PSY,9950,PSY 101H - Introduction To Psychology - Honors,"Surveys the science of psychology, including history of psychology, physiology, development, health, abnormal, learning, sensation, perception, motivation, personality, and intelligence. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=009950&term=1261
PSY,14182,PSY 305 - Data Science And Ai In Psychology,"Examines the role of data science, artificial intelligence, and ""big data"" in the field of psychology and the implications for research, ethics, and psychology careers. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=014182&term=1261
PSY,14611,PSY 305H - Data Science And Ai In Psychology - Honors,"Examines the role of data science, artificial intelligence, and ""big data"" in the field of psychology and the implications for research, ethics, and psychology careers. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=014611&term=1261
PSY,14448,PSY 628 - Research Dissemination Skills In The Psychological Sciences,"This graduate course draws on best practices within the psychological sciences that informs effective written, computational, and visual data dissemination skills. The course also focuses on practical methods of disseminating basic and applied psychological research findings for a variety of professional and community audiences for whom psychological research findings have impact. Course topics include how to transform statistical results into engaging visualizations for professional outlets (publication, grant applications), community-based dissemination goals (e.g., community-based organization), and professional workflow platforms (e.g., OSF). Impact of generative AI services on dissemination processes will also be discussed. Students will have opportunities to strengthen and practice written and visual dissemination skills. R programming language will be required for some assignments. Letter grade only.",https://catalog.nau.edu/Courses/course?courseId=014448&term=1261
