subject,course_id,course_display,description,course_url
CS,014437,CS 503 - Foundations For Teaching Computer Science,,https://catalog.nau.edu/Courses/course?courseId=014437&term=1261
CS,014438,CS 504 - Web Programing For Teachers,,https://catalog.nau.edu/Courses/course?courseId=014438&term=1261
CS,014439,CS 505 - Discovering Informatics,,https://catalog.nau.edu/Courses/course?courseId=014439&term=1261
CS,014548,CS 506 - Data Wrangling And Management,,https://catalog.nau.edu/Courses/course?courseId=014548&term=1261
CS,012519,CS 530 - Advanced Computer Graphics,,https://catalog.nau.edu/Courses/course?courseId=012519&term=1261
CS,010873,CS 540 - Advanced Software Architecture,,https://catalog.nau.edu/Courses/course?courseId=010873&term=1261
CS,001790,CS 550 - Parallel Programming,,https://catalog.nau.edu/Courses/course?courseId=001790&term=1261
CS,012520,CS 551 - Advanced Mechanized Reasoning About Programs,,https://catalog.nau.edu/Courses/course?courseId=012520&term=1261
CS,013496,CS 552 - High Performance Computing,,https://catalog.nau.edu/Courses/course?courseId=013496&term=1261
CS,013887,CS 553 - Gpu Programming,,https://catalog.nau.edu/Courses/course?courseId=013887&term=1261
CS,009522,CS 560 - Computer Networks,,https://catalog.nau.edu/Courses/course?courseId=009522&term=1261
CS,009501,CS 565 - Distributed Systems,,https://catalog.nau.edu/Courses/course?courseId=009501&term=1261
CS,011556,CS 567 - Advanced Software Assurance,,https://catalog.nau.edu/Courses/course?courseId=011556&term=1261
CS,012521,CS 570 - Advanced Intelligent Systems,,https://catalog.nau.edu/Courses/course?courseId=012521&term=1261
CS,014102,CS 572 - Unsupervised Machine Learning,,https://catalog.nau.edu/Courses/course?courseId=014102&term=1261
CS,014090,CS 573 - Interpretable Machine Learning,,https://catalog.nau.edu/Courses/course?courseId=014090&term=1261
CS,001792,CS 577 - Human-computer Interaction,,https://catalog.nau.edu/Courses/course?courseId=001792&term=1261
CS,001793,CS 599 - Contemporary Developments,,https://catalog.nau.edu/Courses/course?courseId=001793&term=1261
CS,014091,CS 601 - Computer Science Seminar,,https://catalog.nau.edu/Courses/course?courseId=014091&term=1261
CS,014012,CS 608 - Fieldwork Experience,,https://catalog.nau.edu/Courses/course?courseId=014012&term=1261
CS,010308,CS 685 - Graduate Research,,https://catalog.nau.edu/Courses/course?courseId=010308&term=1261
CS,001795,CS 697 - Independent Study,,https://catalog.nau.edu/Courses/course?courseId=001795&term=1261
CS,010166,CS 699 - Thesis,,https://catalog.nau.edu/Courses/course?courseId=010166&term=1261
INF,012606,INF 110 - Discovering Informatics,,https://catalog.nau.edu/Courses/course?courseId=012606&term=1261
INF,012718,INF 199 - Special Topics,,https://catalog.nau.edu/Courses/course?courseId=012718&term=1261
INF,013225,INF 205 - Introduction To Ecoinformatics,,https://catalog.nau.edu/Courses/course?courseId=013225&term=1261
INF,012719,INF 299 - Special Topics,,https://catalog.nau.edu/Courses/course?courseId=012719&term=1261
INF,012284,INF 376 - Research Initiation,,https://catalog.nau.edu/Courses/course?courseId=012284&term=1261
INF,012285,INF 386 - Research Planning,,https://catalog.nau.edu/Courses/course?courseId=012285&term=1261
INF,012720,INF 399 - Special Topics,,https://catalog.nau.edu/Courses/course?courseId=012720&term=1261
INF,014076,INF 408 - Fieldwork Experience,,https://catalog.nau.edu/Courses/course?courseId=014076&term=1261
INF,013226,INF 413 - Cancer Evolution And Ecology,,https://catalog.nau.edu/Courses/course?courseId=013226&term=1261
INF,013228,INF 414 - Modeling The Spread Of Infectious Disease,,https://catalog.nau.edu/Courses/course?courseId=013228&term=1261
INF,013230,INF 415 - Comparative Genomics,,https://catalog.nau.edu/Courses/course?courseId=013230&term=1261
INF,013232,INF 416 - Transcriptomics,,https://catalog.nau.edu/Courses/course?courseId=013232&term=1261
INF,013234,INF 421 - Mechanistic Ecological And Environmental Modeling,,https://catalog.nau.edu/Courses/course?courseId=013234&term=1261
INF,013236,INF 422 - Ecoinformatics Tools And Data,,https://catalog.nau.edu/Courses/course?courseId=013236&term=1261
INF,013238,"INF 423 - Informatics For Community Food, Energy And Water Systems",,https://catalog.nau.edu/Courses/course?courseId=013238&term=1261
INF,012999,INF 450 - Survey In Ecoinformatics Tools,,https://catalog.nau.edu/Courses/course?courseId=012999&term=1261
INF,012286,INF 476C - Research Design,,https://catalog.nau.edu/Courses/course?courseId=012286&term=1261
INF,014077,INF 485 - Undergraduate Research,,https://catalog.nau.edu/Courses/course?courseId=014077&term=1261
INF,012287,INF 486C - Capstone Experience,,https://catalog.nau.edu/Courses/course?courseId=012287&term=1261
INF,012721,INF 499 - Special Topics,,https://catalog.nau.edu/Courses/course?courseId=012721&term=1261
INF,011998,INF 501 - Research Methods In Informatics And Computing,,https://catalog.nau.edu/Courses/course?courseId=011998&term=1261
INF,011999,INF 502 - Software Development Methodologies,,https://catalog.nau.edu/Courses/course?courseId=011999&term=1261
INF,012000,INF 503 - Large-scale Data Structures And Organization,,https://catalog.nau.edu/Courses/course?courseId=012000&term=1261
INF,012001,INF 504 - Data Mining And Machine Learning,,https://catalog.nau.edu/Courses/course?courseId=012001&term=1261
INF,014093,INF 510 - Graduate Seminar In Informatics And Computing,,https://catalog.nau.edu/Courses/course?courseId=014093&term=1261
INF,012525,INF 511 - Modern Regression I,,https://catalog.nau.edu/Courses/course?courseId=012525&term=1261
INF,012526,INF 512 - Modern Regression II,,https://catalog.nau.edu/Courses/course?courseId=012526&term=1261
INF,013227,INF 513 - Cancer Evolution And Ecology,,https://catalog.nau.edu/Courses/course?courseId=013227&term=1261
INF,013229,INF 514 - Modeling The Spread Of Infectious Disease,,https://catalog.nau.edu/Courses/course?courseId=013229&term=1261
INF,013231,INF 515 - Comparative Genomics,,https://catalog.nau.edu/Courses/course?courseId=013231&term=1261
INF,013233,INF 516 - Transcriptomics,,https://catalog.nau.edu/Courses/course?courseId=013233&term=1261
INF,013235,INF 521 - Mechanistic Ecological And Environmental Modeling,,https://catalog.nau.edu/Courses/course?courseId=013235&term=1261
INF,013237,INF 522 - Ecoinformatics Tools And Data,,https://catalog.nau.edu/Courses/course?courseId=013237&term=1261
INF,013239,"INF 523 - Informatics For Community Food, Energy And Water Systems",,https://catalog.nau.edu/Courses/course?courseId=013239&term=1261
INF,012615,INF 529 - Applied Remote Sensing,,https://catalog.nau.edu/Courses/course?courseId=012615&term=1261
INF,013000,INF 550 - Advanced Survey In Ecoinformatics Tools,,https://catalog.nau.edu/Courses/course?courseId=013000&term=1261
INF,014549,INF 586 - Data Analytics Capstone,,https://catalog.nau.edu/Courses/course?courseId=014549&term=1261
INF,012120,INF 599 - Contemporary Developments,,https://catalog.nau.edu/Courses/course?courseId=012120&term=1261
